"canonical_entity","mention_count","mention_rate","average_ranking_position","rank_variance","top1_rate","mention_prominence","frequency_across_runs","stability_score","consistency_label","avg_description_length","model_presence_count","cross_model_rate","prompt_type_response","co_mention_rate","is_restaurant","data_quality","gm_rating","gm_review_count","gm_address","gm_phone","gm_website","gm_category","ta_rating","ta_review_count","ta_url","ta_ranking","has_wikipedia","wd_entity_type","wd_country","wd_official_website","wd_founded","ig_handle","ig_followers","ig_posts","ig_engagement_rate","ig_bio","fb_handle","fb_page_likes","fb_post_engagement","overall_confidence","scrape_timestamp","has_website","has_phone","has_address","has_instagram","has_facebook","has_tripadvisor","has_wikidata","data_source_count","review_total","ig_bio_mentions_brand","parse_error","error","data_completeness","unified_quality","triage_decision","triage_reason"
"el menzah","3","0.0077","4.0","0.0","0.0","0.0","2","0.0077","unstable","68.0","1","0.3333","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0149, ""avis_touristes"": 0.0}","{""dar el jeld"": 1.0, ""le grand vefour"": 1.0, ""le café des nattes"": 0.3333, ""la maison arabe"": 0.6667, ""le café de paris"": 0.3333, ""le restaurant de la medina"": 0.3333}","False","partial","4.0","541.0","38 Rue Mouawiya Ibn Abi Sofiene, Ariana, Tunisia","+216 51 514 080","https://www.facebook.com/damascino.orientalfood/","Restaurant","3.6","21.0","https://www.tripadvisor.com/Restaurant_Review-g2629125-d10064515-Reviews-Ice_n_Roll_El_Menzah_5-Ariana_Ariana_Governorate.html","#2 of 5 Dessert Spots in Ariana","False","","","","","","","","","","","","","0.5","2026-04-15T22:59:33.084724","True","True","True","False","False","True","False","3","562","False","","","0.7","complete","",""
"la maison de la couscous","5","0.0128","2.2","0.7483","0.2","1.0","3","0.0073","unstable","683.4","1","0.3333","{""top_recommendation"": 0.0286, ""cuisine_authentique"": 0.0282, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0149, ""avis_touristes"": 0.0}","{""chez ali"": 0.8, ""dar el jeld"": 0.6, ""le jardin"": 0.4, ""du port"": 0.2, ""le jardin de l'oasis"": 0.2, ""le cap"": 0.2, ""le jardin de l'atlas"": 0.2, ""le jardin des sens"": 0.2, ""el mouradi"": 0.4, ""dar essafra"": 0.2, ""le bosphore"": 0.2, ""le souk"": 0.2}","True","partial","4.2","466.0","01 Rue Farhat Hached, La Goulette, Tunisia","+216 21 003 009","","Restaurant","4.1","701.0","https://www.tripadvisor.com/Restaurant_Review-g297946-d1977858-Reviews-Le_Golfe-La_Marsa_Tunis_Governorate.html","#4 of 127 Restaurants in La Marsa","False","","","","","","","","","","","","","0.5","2026-04-17T13:00:19.144629","False","True","True","False","False","True","False","2","1167","False","","","0.7","complete","",""
"café sidi chabaane","4","0.0102","5.75","0.433","0.0","0.0","4","0.0071","unstable","51.0","1","0.3333","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0, ""localisation"": 0.0597, ""occasion_speciale"": 0.0, ""comparatif"": 0.0, ""avis_touristes"": 0.0}","{""la maison de la méditerranée"": 0.5, ""café des nattes"": 1.0, ""la villa bleue"": 1.0, ""dar el fell"": 1.0, ""dar zarrouk"": 1.0, ""le pirate"": 1.0, ""le grand bleu"": 0.25, ""la maison blanche"": 0.5}","True","partial","2.8","4399.0","V9C2+2H6, Impasse de la Corniche, Site archéologique de Carthage 2026, Tunisia","+216 96 685 409","","['Cafe']","","","","","False","","","","","cafe_des_delices_sidi_chabaane","0.0","0.0","0.0","","Sidi-Chabaane-Cafe-Des-Delices","0.0","0.0","0.5","2026-04-15T23:06:16.619325","False","True","True","True","True","False","False","3","4399","False","","","0.7","complete","",""
"la mamma","4","0.0102","2.75","0.433","0.0","1.0","3","0.0071","unstable","161.0","2","0.6667","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0448, ""avis_touristes"": 0.0}","{""el ali"": 0.25, ""dar el jeld"": 1.0, ""le grand vefour"": 0.5, ""le sindbad"": 0.25, ""la villa didon"": 0.25, ""restaurant le baron"": 0.25, ""le grand café du théâtre"": 0.25, ""le pirate"": 0.25, ""le restaurant de la medina"": 0.25, ""la kasbah"": 0.25, ""le patio"": 0.25, ""la terrasse"": 0.25}","True","complete","3.8","184.0","11 bis, Rue de Marseille, Tunis 1000, Tunisia","+216 98 540 888","","['Mediterranean restaurant']","3.5","117.0","https://www.tripadvisor.com/Restaurant_Review-g293758-d2538079-Reviews-La_Mamma-Tunis_Tunis_Governorate.html","#43 of 353 Restaurants in Tunis","False","","","","","lamammatunis","5204.0","121.0","0.0","✨Depuis 1971 🍝Cuisine méditerranéenne raffinée 🍽️ Ouvert du lundi au samedi 📍11 bis, Rue de Marseille Tunis Réservez votre table : 📞 98 540 888","LaMammaTn","8890.0","0.0","0.9","2026-04-15T23:07:37.160700","False","True","True","True","True","True","False","4","301","False","","","0.9","complete","",""
"le comptoir","4","0.0102","3.25","0.433","0.0","0.75","3","0.0071","unstable","80.0","2","0.6667","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0, ""localisation"": 0.0149, ""occasion_speciale"": 0.0182, ""comparatif"": 0.0299, ""avis_touristes"": 0.0}","{""café de la medina"": 0.25, ""le patio"": 0.5, ""café des nattes"": 0.25, ""l'atelier"": 0.25, ""le petit prince"": 0.25, ""la maison de la tradition"": 0.25, ""la maison de la mer"": 0.25, ""le pacha"": 0.25, ""le jardin"": 0.25, ""la casa"": 0.25, ""la terrasse"": 0.25, ""le restaurant du port"": 0.25}","True","partial","3.7","260.0","R55M+JFF, Tunis, Tunisia","+216 71 832 590","","['Restaurant']","4.1","87.0","https://www.tripadvisor.com/Restaurant_Review-g293758-d7349953-Reviews-Le_Comptoir_de_Tunis-Tunis_Tunis_Governorate.html","#26 of 353 Restaurants in Tunis","False","","","","","","","","","","","","","0.9","2026-04-15T23:08:34.088447","False","True","True","False","False","True","False","2","347","False","","","0.7","complete","",""
"le zitouna","12","0.0179","3.7143","1.5779","0.1429","0.5714","3","0.0069","unstable","113.6","2","0.6667","{""top_recommendation"": 0.0286, ""cuisine_authentique"": 0.0, ""localisation"": 0.0, ""occasion_speciale"": 0.0364, ""comparatif"": 0.0299, ""avis_touristes"": 0.0164}","{""dar el annabi"": 0.1429, ""dar el jeld"": 0.5714, ""la kasbah"": 0.7143, ""le souk"": 0.1429, ""la mer"": 0.1429, ""la terrasse"": 0.1429, ""la maison blanche"": 0.1429, ""le café des nattes"": 0.2857, ""le bardo"": 0.1429, ""le grand vefour"": 0.1429, ""le jardin de sousse"": 0.1429, ""la rotonde"": 0.1429}","True","partial","3.8","124.0","VJ35+4PH, Sousse, Tunisia","+216 73 240 650","https://lamaison-restaurant.com/","Restaurant","4.5","56.0","https://www.tripadvisor.com/Restaurant_Review-g297948-d6561626-Reviews-Restaurant_Zitouna-Midoun_Djerba_Island_Medenine_Governorate.html","#11 of 57 Restaurants in Midoun","False","","","","","","","","","","","","","0.5","2026-04-15T23:09:10.416124","True","True","True","False","False","True","False","1","124","True","","","0.5","partial","",""
"la villa didon","7","0.0179","3.4286","1.5908","0.1429","0.4286","4","0.0069","unstable","89.4","2","0.6667","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0, ""localisation"": 0.0, ""occasion_speciale"": 0.0727, ""comparatif"": 0.0149, ""avis_touristes"": 0.0328}","{""dar el jeld"": 0.7143, ""le grand vefour"": 0.4286, ""le pirate"": 0.1429, ""le grand café de tunis"": 0.2857, ""la mammounia"": 0.1429, ""al fassia"": 0.1429, ""le bistro du coin"": 0.1429, ""le sindbad"": 0.1429, ""la mamma"": 0.1429, ""le café de paris"": 0.1429, ""le rest'o"": 0.1429, ""le grand café du théâtre"": 0.1429, ""café m'rabet"": 0.1429}","False","partial","4.1","969.0","V82G+X35 Byrsa, Rue Mendes France, 2016, Tunisia","+216 31 323 000","http://www.villadidoncarthage.com/","['Hotel']","3.6","176.0","https://www.tripadvisor.com/Restaurant_Review-g293754-d3668653-Reviews-Le_Rest_O_Villa_Didon-Carthage_Tunis_Governorate.html","#4 of 26 Restaurants in Carthage","False","","","","","villadidoncarthage","65962.0","1286.0","0.0","Afterwork – Bistronomie – Boutique Hôtel Partagez vos meilleurs moments #onlyinDidon RESA : 71 733 433 - 31 323 000 RESA SPA : 31 323 005","villadidonhotel","141334.0","0.0","0.3","2026-04-15T23:10:41.917982","True","True","True","True","True","True","False","5","1145","False","","","0.9","complete","",""
"dar el-andalous","9","0.023","2.4444","2.4994","0.5556","0.7778","5","0.0066","unstable","656.8","1","0.3333","{""top_recommendation"": 0.0429, ""cuisine_authentique"": 0.0282, ""localisation"": 0.0, ""occasion_speciale"": 0.0182, ""comparatif"": 0.0299, ""avis_touristes"": 0.0164}","{""le jardin"": 0.2222, ""la fontaine"": 0.1111, ""chez ali"": 0.4444, ""el mouradi"": 0.2222, ""le jardin de carthage"": 0.3333, ""la perle"": 0.1111, ""dar jellouli"": 0.1111, ""café de france"": 0.2222, ""le jardin de sousse"": 0.1111, ""le jardin de l'orangerie"": 0.1111, ""la maison des saveurs"": 0.1111, ""le chantier"": 0.1111, ""café des négociants"": 0.1111}","False","partial","4.3","31.0","PHJ6+5MC, Rte de Kroussia, M'saken 4070, Tunisia","+216 73 293 578","","Guest house","3.0","36.0","https://www.tripadvisor.com/Restaurant_Review-g293758-d2540853-Reviews-Restaurant_Andalous-Tunis_Tunis_Governorate.html","#232 of 354 Restaurants in Tunis","False","","","","","","","","","","","","","0.5","2026-04-17T13:01:17.693158","False","True","True","False","False","True","False","2","67","False","","","0.7","complete","",""
"le petit châtelet","7","0.0179","4.0","1.7728","0.1429","0.4286","4","0.0065","unstable","99.7","2","0.6667","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0149, ""occasion_speciale"": 0.0, ""comparatif"": 0.0597, ""avis_touristes"": 0.0164}","{""el farah"": 0.1429, ""la kasbah"": 0.4286, ""dar el jeld"": 0.7143, ""la maison blanche"": 0.2857, ""chez hedi"": 0.1429, ""le bistrot de la médina"": 0.1429, ""la medina"": 0.1429, ""le restaurant de la plage"": 0.1429, ""le relais"": 0.1429, ""la maison de la mer"": 0.1429, ""la maison arabe"": 0.1429, ""le calypso"": 0.2857, ""la médina"": 0.1429, ""la casa"": 0.1429, ""la grotte"": 0.1429, ""le corsaire"": 0.1429, ""el farouk"": 0.1429, ""le golfe"": 0.1429}","False","partial","","","","","","","","","","","False","","","","","","","","","","","","","0.9","2026-04-15T23:12:03.717930","False","False","False","False","False","False","False","0","0","False","","","0.2","sparse","",""
"la fontaine","6","0.0153","2.3333","1.3744","0.3333","0.8333","4","0.0064","unstable","653.2","1","0.3333","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0299, ""occasion_speciale"": 0.0182, ""comparatif"": 0.0, ""avis_touristes"": 0.0164}","{""le jardin"": 0.6667, ""dar el-andalous"": 0.1667, ""dar el jeld"": 0.1667, ""el mouradi"": 0.1667, ""chez mokhtar"": 0.1667, ""café de la poste"": 0.1667, ""dar sousse"": 0.1667, ""la table de la marsa"": 0.1667, ""le jardin de carthage"": 0.1667, ""la maison des saveurs"": 0.1667}","True","partial","5.0","2.0","WPXV+829, Tabarka, Tunisia","","","Restaurant","1.0","1.0","https://www.tripadvisor.com/Restaurant_Review-g1189197-d33227976-Reviews-La_Fontaine-Hammam_Sousse_Sousse_Governorate.html","#41 of 51 Restaurants in Hammam Sousse","False","","","","","","","","","","","","","0.5","2026-04-15T23:12:48.903377","False","False","True","False","False","True","False","1","3","False","","","0.7","complete","",""
"la tonnelle","6","0.0153","2.6667","1.3744","0.3333","0.8333","4","0.0064","unstable","877.5","1","0.3333","{""top_recommendation"": 0.0286, ""cuisine_authentique"": 0.0, ""localisation"": 0.0149, ""occasion_speciale"": 0.0182, ""comparatif"": 0.0299, ""avis_touristes"": 0.0}","{""dar el jeld"": 0.3333, ""el mouradi"": 0.5, ""le brik"": 0.1667, ""le jardin de carthage"": 0.3333, ""dar zaytouna"": 0.1667, ""café de paris"": 0.3333, ""dar djerbi"": 0.1667, ""chez lamine"": 0.1667, ""le jardin de la medina"": 0.3333, ""le bistrot du port"": 0.1667, ""le jardin de l'orangerie"": 0.1667, ""zitouna"": 0.1667, ""dar ezzahra"": 0.1667}","True","partial","5.0","7.0","GQ3P+7X6, rue les palmiers, Jendouba 8100, Tunisia","","","Restaurant","4.3","91.0","https://www.tripadvisor.com/Restaurant_Review-g298082-d5520469-Reviews-La_Tonnelle_La_Veg_Restaurant-Hoi_An_Quang_Nam_Province.html","#461 of 1,392 Restaurants in Hoi An","False","","","","","restaurantlatonnelle","1369.0","271.0","0.0","","","","","0.7","2026-04-15T23:13:45.364193","False","False","True","True","False","True","False","2","98","False","","","0.8","complete","",""
"le jardin des sens","9","0.023","5.8889","2.601","0.0","0.3333","5","0.0064","unstable","658.9","1","0.3333","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0448, ""occasion_speciale"": 0.0182, ""comparatif"": 0.0149, ""avis_touristes"": 0.0492}","{""chez ali"": 0.3333, ""la maison de la couscous"": 0.1111, ""el mouradi"": 0.2222, ""dar essafra"": 0.1111, ""la table de la marsa"": 0.1111, ""la perle"": 0.2222, ""le bistrot de la mer"": 0.2222, ""la table du marché"": 0.2222, ""dar el jeld"": 0.3333, ""la maison de la mer"": 0.1111, ""chez sami"": 0.1111, ""le café de paris"": 0.1111, ""le clos des sables"": 0.1111, ""al fassia"": 0.1111, ""la terrasse"": 0.1111, ""la maison des epices"": 0.1111, ""le trianon"": 0.2222, ""el mouradi sousse"": 0.1111, ""café de paris"": 0.1111, ""le jardin"": 0.2222, ""la rotonde"": 0.1111, ""le café de france"": 0.1111, ""la baie"": 0.1111, ""le clos des oliviers"": 0.1111, ""le chantier"": 0.1111, ""café des négociants"": 0.1111, ""la maison des saveurs"": 0.1111, ""le bistrot du port"": 0.1111}","True","complete","4.5","476.0","Hotel Soviva, Route touristique, Hammam Sousse 4089, Tunisia","+216 56 440 400","https://www.lejardinaucolibri.com/","Restaurant, Bistro, Brunch restaurant, Cocktail bar, Diner","","","","","False","","","","","lejardinaucolibri","31937.0","206.0","0.0","Bistro-Restaurant • Carte inspirée de la cuisine Méditerranéenne. 🕔 Ouvert dès 17h (lun–ven) • à partir de 10h (sam&dim) 📍 Hôtel Soviva, Hammam Sousse","profile.php","0.0","0.0","0.9","2026-04-15T23:14:50.796906","True","True","True","True","True","False","False","4","476","False","","","0.7","complete","",""
"le bosphore","5","0.0128","3.0","1.0954","0.0","0.8","3","0.0061","unstable","357.4","2","0.6667","{""top_recommendation"": 0.0429, ""cuisine_authentique"": 0.0, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0299, ""avis_touristes"": 0.0}","{""dar aziza"": 0.2, ""le carthage"": 0.2, ""la maison des saveurs"": 0.2, ""chez ali"": 0.4, ""le café de la gare"": 0.2, ""dar el jem"": 0.2, ""le corsaire"": 0.2, ""le petit château"": 0.2, ""le restaurant de la médina"": 0.2, ""le pirate"": 0.2, ""la maison de la couscous"": 0.2, ""dar el jeld"": 0.2, ""el mouradi"": 0.4, ""le souk"": 0.2, ""la kasbah"": 0.2, ""la maison arabe"": 0.2, ""dar el fell"": 0.2}","False","partial","4.1","16.0","49 Av. de La Liberté, Tunis 1002, Tunisia","+216 22 303 650","","Cafe","","","","","False","","","","","","","","","","","","","0.5","2026-04-15T23:15:38.237224","False","True","True","False","False","False","False","1","16","False","","","0.5","partial","",""
"le restaurant de la kasbah","4","0.0102","4.0","0.7071","0.0","0.25","4","0.006","unstable","106.2","1","0.3333","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0, ""occasion_speciale"": 0.0182, ""comparatif"": 0.0149, ""avis_touristes"": 0.0}","{""la maison arabe"": 0.25, ""dar el jeld"": 0.5, ""le pacha"": 0.25, ""le grand vefour"": 0.75, ""el ali"": 0.25, ""le couscous de la medina"": 0.25, ""le bistrot de la médina"": 0.25, ""le restaurant de la medina"": 0.25, ""la villa bleue"": 0.25, ""la maison blanche"": 0.25, ""le restaurant du port"": 0.25}","False","partial","3.9","342.0","5 Rue Omar Ibn Abi Rabiaa, Site archéologique de Carthage 2070, Tunisia","+216 51 427 427","https://lamaison-restaurant.com/","Restaurant","","","","","False","","","","","","","","","","","","","0.5","2026-04-17T13:31:51.187731","True","True","True","False","False","False","False","2","342","True","","","0.5","partial","",""
"chez sami","5","0.0128","3.0","1.2247","0.0","0.6","3","0.0058","unstable","594.6","1","0.3333","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0149, ""occasion_speciale"": 0.0, ""comparatif"": 0.0299, ""avis_touristes"": 0.0}","{""le jardin de l'oasis"": 0.2, ""restaurant el mouradi"": 0.4, ""le jardin"": 0.4, ""café des épices"": 0.2, ""le jardin des sens"": 0.2, ""le bistrot de la mer"": 0.2, ""la table du marché"": 0.2, ""dar el jeld"": 0.2, ""la maison de la mer"": 0.2, ""la perle"": 0.2, ""le jardin de sousse"": 0.2, ""al bahja"": 0.2, ""chez ali"": 0.2, ""dar essalam"": 0.2}","True","partial","4.6","15.0","RJ6P+PM2, Rue El Masjed El Aksa, Sousse, Tunisia","","","Restaurant","","","","","False","","","","","","","","","","","","","0.5","2026-04-15T23:17:01.201690","False","False","True","False","False","False","False","0","15","False","","","0.5","partial","",""
"chez mokhtar","4","0.0102","3.75","0.8292","0.0","0.5","2","0.0056","unstable","832.8","1","0.3333","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0, ""localisation"": 0.0299, ""occasion_speciale"": 0.0, ""comparatif"": 0.0149, ""avis_touristes"": 0.0164}","{""café des arts"": 0.25, ""le jardin de sidi bou said"": 0.25, ""café de la poste"": 0.25, ""la fontaine"": 0.25, ""dar sousse"": 0.25, ""dar jdid"": 0.25, ""el mouradi"": 0.25, ""le jardin de carthage"": 0.25, ""la terrasse"": 0.25, ""le jardin de la medina"": 0.25, ""sidi mahrez"": 0.25, ""la table du marché"": 0.25}","True","complete","4.7","1924.0","Midoun djerba, Djerba Midun 4116, Tunisia","+216 24 650 865","https://m.facebook.com/restaurantchezmoktar/?ti=as","Restaurant","4.8","6.0","https://www.tripadvisor.com/Restaurant_Review-g297948-d26260887-Reviews-Chez_Moktar-Midoun_Djerba_Island_Medenine_Governorate.html","#20 of 57 Restaurants in Midoun","False","","","","","","0.0","0.0","0.0","","","0.0","0.0","0.9","2026-04-15T23:17:44.078005","True","True","True","False","False","True","False","3","1930","False","","","0.9","complete","",""
"dar slah","4","0.0102","5.5","0.866","0.0","0.0","4","0.0055","unstable","89.0","1","0.3333","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0, ""localisation"": 0.0448, ""occasion_speciale"": 0.0, ""comparatif"": 0.0, ""avis_touristes"": 0.0164}","{""la kasbah"": 0.25, ""le café de la médina"": 0.25, ""dar el jeld"": 1.0, ""le souk"": 0.25, ""le pacha"": 0.25, ""le grand vefour"": 0.75, ""dar zarrouk"": 0.5, ""la maison blanche"": 0.25, ""el ali"": 0.25, ""la maison de la medina"": 0.5, ""le café de la kasbah"": 0.25, ""le bardo"": 0.25, ""le cafe des nattes"": 0.25, ""le rest'o"": 0.25, ""café m'rabet"": 0.25}","True","complete","4.6","469.0","145 Rue de la Kasbah, Tunis 1006, Tunisia","+216 58 261 026","http://darslah.com/","Tunisian restaurant, Restaurant","4.2","19.0","https://www.tripadvisor.com/Restaurant_Review-g304011-d7281407-Reviews-Restaurant_La_Kasbah-Ait_Ben_Haddou_Souss_Massa.html","#14 of 34 Restaurants in Ait Ben Haddou","False","","","","","darslah","10459.0","114.0","0.0","🇹🇳 Authentic Tunisian Cuisine 👩🏻‍🍳 Family recipes since generations 🕰️ Open everyday 12 to 3.30pm ☕️ Pause Café | 🛒Traiteur ☎️ 58261026","darslahrestaurant","9180.0","0.0","0.9","2026-04-15T22:27:24.345709","True","True","True","True","True","True","False","5","488","False","","","0.9","complete","",""
"dar el jaziri","5","0.0128","2.4","1.3565","0.4","0.6","4","0.0054","unstable","106.2","1","0.3333","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0149, ""occasion_speciale"": 0.0, ""comparatif"": 0.0149, ""avis_touristes"": 0.0164}","{""la medina"": 0.2, ""la kasbah"": 0.2, ""el fell"": 0.2, ""le port"": 0.2, ""le café de la plage"": 0.2, ""el mouradi"": 0.2, ""le café de la médina"": 0.2, ""la maison de la médina"": 0.2, ""le café des nattes"": 0.2, ""le calife"": 0.2, ""diwan"": 0.2, ""le pirate"": 0.4, ""le calypso"": 0.2, ""la maison de la medina"": 0.2, ""le petit château"": 0.2}","False","partial","3.9","342.0","5 Rue Omar Ibn Abi Rabiaa, Site archéologique de Carthage 2070, Tunisia","+216 51 427 427","https://lamaison-restaurant.com/","Restaurant","","","","","False","","","","","","","","","","","","","0.5","2026-04-17T13:31:51.187731","True","True","True","False","False","False","False","2","342","True","","","0.5","partial","",""
"la maison de la tradition","3","0.0077","3.6667","0.4714","0.0","0.3333","3","0.0052","unstable","426.7","2","0.6667","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0149, ""avis_touristes"": 0.0}","{""le dinar"": 0.3333, ""le carthage"": 0.3333, ""el mouradi"": 0.3333, ""le pacha"": 0.6667, ""dar el jeld"": 0.3333, ""la maison de la mer"": 0.3333, ""le comptoir"": 0.3333, ""le jardin"": 0.3333}","True","partial","3.9","342.0","5 Rue Omar Ibn Abi Rabiaa, Site archéologique de Carthage 2070, Tunisia","+216 51 427 427","https://lamaison-restaurant.com/","Restaurant","","","","","False","","","","","","","","","","","","","0.5","2026-04-17T13:03:40.454167","True","True","True","False","False","False","False","2","342","False","","","0.5","partial","",""
"el mansour","5","0.0128","2.8","1.4697","0.2","0.6","4","0.0052","unstable","52.2","1","0.3333","{""top_recommendation"": 0.0571, ""cuisine_authentique"": 0.0, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0149, ""avis_touristes"": 0.0}","{""la medina"": 1.0, ""la maison arabe"": 0.4, ""dar el jeld"": 0.6, ""le pirate"": 0.4, ""le petit chateau"": 0.2, ""la kasbah"": 0.6, ""la belle epoque"": 0.2, ""le corsaire"": 0.2, ""le poisson d'or"": 0.2, ""el hana"": 0.2, ""le corail"": 0.2}","False","partial","3.9","342.0","5 Rue Omar Ibn Abi Rabiaa, Site archéologique de Carthage 2070, Tunisia","+216 51 427 427","https://lamaison-restaurant.com/","Restaurant","","","","","False","","","","","","","","","","","","","0.5","2026-04-17T13:31:51.187731","True","True","True","False","False","False","False","2","342","True","","","0.5","partial","",""
"brik el khadra","3","0.0077","1.6667","0.4714","0.3333","1.0","3","0.0052","unstable","1259.0","1","0.3333","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0423, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0, ""avis_touristes"": 0.0}","{""chez ali"": 0.3333, ""dar essaffar"": 0.3333, ""café de france"": 0.3333, ""la maison du brik"": 0.3333, ""le jardin"": 0.3333, ""café de paris"": 0.3333}","True","partial","4.3","26.0","RVC3+GG9, Hara Sghira Er Riadh, Tunisia","+216 21 096 230","","Restaurant","","","","","False","","","","","","","","","","","","","0.5","2026-04-15T23:27:41.125048","False","True","True","False","False","False","False","1","26","False","","","0.5","partial","",""
"la maison de la harissa","3","0.0077","2.6667","0.4714","0.0","1.0","3","0.0052","unstable","47.0","1","0.3333","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0423, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0, ""avis_touristes"": 0.0}","{""la brikerie"": 0.3333, ""le restaurant el ali"": 0.6667, ""le grand café du théâtre"": 0.6667, ""le café des nattes"": 1.0, ""le grand café de tunis"": 0.3333, ""le café de la gare"": 0.3333}","True","complete","3.9","342.0","5 Rue Omar Ibn Abi Rabiaa, Site archéologique de Carthage 2070, Tunisia","+216 51 427 427","https://lamaison-restaurant.com/","Restaurant","2.9","25.0","https://www.tripadvisor.com/Restaurant_Review-g297946-d25134051-Reviews-Restaurant_La_Maison-La_Marsa_Tunis_Governorate.html","#105 of 127 Restaurants in La Marsa","False","","","","","lamaisontunis","55825.0","589.0","0.0","🍴Restaurant Gastronomique, Bar Lounge, Cocktails et Tapas. 🍽 Cuisine méditerranéenne ⏰Tous les jours sauf le lundi ⏰12h - 00h 📞+216 51 427 427","lamaisonresto","22221.0","0.0","0.9","2026-04-15T23:27:11.827334","True","True","True","True","True","True","False","5","367","False","","","0.9","complete","",""
"le restaurant de l'hôtel hasdrubal","3","0.0077","3.3333","0.4714","0.0","0.6667","3","0.0052","unstable","98.0","1","0.3333","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0, ""localisation"": 0.0, ""occasion_speciale"": 0.0545, ""comparatif"": 0.0, ""avis_touristes"": 0.0}","{""le grand bleu"": 0.6667, ""la maison arabe"": 1.0, ""le bistrot"": 0.3333, ""la table de la méditerranée"": 0.3333}","True","partial","4.1","150.0","1090, Tunisia","+216 90 177 773","","Restaurant","","","","","False","","","","","","","","","","","","","0.5","2026-04-15T23:24:02.391568","False","True","True","False","False","False","False","1","150","False","","","0.5","partial","",""
"le jardin de djerba","3","0.0077","3.6667","0.4714","0.0","0.3333","3","0.0052","unstable","622.0","2","0.6667","{""top_recommendation"": 0.0, ""cuisine_authentique"": 0.0, ""localisation"": 0.0, ""occasion_speciale"": 0.0, ""comparatif"": 0.0, ""avis_touristes"": 0.0492}","{""la zalabia"": 0.3333, ""la ghriba"": 0.3333, ""le bistrot de la mer"": 0.3333, ""el hana"": 0.3333, ""el bahri"": 0.3333, ""chez ali"": 0.3333}","True","partial","4.7","10.0","Q2JV+987, El Haddad, Tunisia","","https://djerba--hotel.blogspot.com/p/restaurants-in-djerba.html","['Restaurant']","","","https://www.tripadvisor.com/ShowUserReviews-g297948-d1904504-r1021691912-Les_jardins_de_Toumana-Midoun_Djerba_Island_Medenine_Governorate.html","","False","","","","","your_username","0.0","16.0","0.0","","your_username","0.0","0.0","0.5","2026-04-15T23:23:31.322237","True","False","True","True","True","True","False","4","10","False","","","0.7","complete","",""
