"response_id","prompt_id","entity","run_id","ranking_position","description_length_tokens","quality_flag","canonical_entity","ranking_position_filled","clean_flag","merge_source"
"P003__llama-small__run_1","P003","le zitouna","run_1","6.0","42","ok","le zitouna","6","flagged",""
"P003__llama-small__run_1","P003","la terrasse","run_1","7.0","87","ok","la terrasse","7","clean",""
"P003__llama-small__run_2","P003","dar el jeld","run_2","1.0","256","ok","dar el jeld","1","flagged",""
"P003__llama-small__run_2","P003","la terrasse","run_2","3.0","87","ok","la terrasse","3","clean",""
"P003__llama-small__run_2","P003","le relais de la medina","run_2","4.0","0","ok","le relais de la medina","4","flagged",""
"P003__llama-small__run_2","P003","la kasbah","run_2","5.0","111","ok","la kasbah","5","flagged",""
"P003__llama-small__run_3","P003","el khayam","run_3","1.0","61","ok","el khayam","1","flagged",""
"P003__llama-small__run_3","P003","le central","run_3","2.0","51","ok","le central","2","clean",""
"P003__llama-small__run_3","P003","el ksar","run_3","3.0","546","ok","el ksar","3","clean",""
"P003__llama-small__run_3","P003","la medina","run_3","","147","ok","la medina","999","clean",""
"P003__llama-small__run_4","P003","dar el jeld","run_4","1.0","256","ok","dar el jeld","1","flagged",""
"P003__llama-small__run_5","P003","dar el jeld","run_5","1.0","256","ok","dar el jeld","1","flagged",""
"P003__llama-small__run_5","P003","la kasbah","run_5","4.0","111","ok","la kasbah","4","flagged",""
"P003__qwen-medium__run_1","P003","dar jilani","run_1","1.0","1078","ok","dar jilani","1","clean",""
"P003__qwen-medium__run_1","P003","la maison de l'artisan","run_1","2.0","861","ok","la maison de l'artisan","2","flagged",""
"P003__qwen-medium__run_1","P003","le jardin de la medina","run_1","3.0","660","ok","le jardin de la medina","3","flagged",""
"P003__qwen-medium__run_1","P003","el bahri","run_1","4.0","468","ok","el bahri","4","clean",""
"P003__qwen-medium__run_2","P003","dar el-andalous","run_2","1.0","1167","ok","dar el-andalous","1","clean",""
"P003__qwen-medium__run_2","P003","chez ali","run_2","2.0","707","ok","chez ali","2","clean",""
"P003__qwen-medium__run_2","P003","el mouradi","run_2","3.0","465","ok","el mouradi","3","clean",""
"P003__qwen-medium__run_2","P003","la perle","run_2","4.0","703","ok","la perle","4","flagged",""
"P003__qwen-medium__run_2","P003","les jardins de carthage","run_2","5.0","569","ok","le jardin de carthage","5","clean","les jardins de carthage"
"P003__qwen-medium__run_3","P003","le jardin de sousse","run_3","2.0","1097","ok","le jardin de sousse","2","flagged",""
"P003__qwen-medium__run_3","P003","café des nattes","run_3","3.0","900","ok","café des nattes","3","clean",""
"P003__qwen-medium__run_4","P003","dar el jeld","run_4","1.0","256","ok","dar el jeld","1","flagged",""
"P003__qwen-medium__run_4","P003","la maison de la couscous","run_4","2.0","846","ok","la maison de la couscous","2","flagged",""
"P003__qwen-medium__run_4","P003","le jardin","run_4","3.0","740","ok","le jardin","3","clean",""
"P003__qwen-medium__run_4","P003","chez ali","run_4","4.0","707","ok","chez ali","4","clean",""
"P003__qwen-medium__run_4","P003","du port","run_4","5.0","773","ok","du port","5","clean",""
"P003__qwen-medium__run_5","P003","dar el jeld","run_5","1.0","256","ok","dar el jeld","1","flagged",""
"P003__qwen-medium__run_5","P003","el ksar","run_5","2.0","546","ok","el ksar","2","clean",""
"P003__qwen-medium__run_5","P003","le jardin","run_5","3.0","740","ok","le jardin","3","clean",""
"P003__qwen-medium__run_5","P003","chez ali","run_5","4.0","707","ok","chez ali","4","clean",""
"P003__qwen-medium__run_5","P003","la rotonde","run_5","5.0","416","ok","la rotonde","5","clean",""
"P003__llama-large__run_1","P003","dar el jeld","run_1","1.0","256","ok","dar el jeld","1","flagged",""
"P003__llama-large__run_1","P003","el mansour","run_1","2.0","52","ok","el mansour","2","clean",""
"P003__llama-large__run_1","P003","la maison arabe","run_1","3.0","63","ok","la maison arabe","3","flagged",""
"P003__llama-large__run_1","P003","le pirate","run_1","4.0","67","ok","le pirate","4","flagged",""
"P003__llama-large__run_1","P003","la medina","run_1","5.0","147","ok","la medina","5","clean",""
"P003__llama-large__run_2","P003","dar el jeld","run_2","1.0","256","ok","dar el jeld","1","flagged",""
"P003__llama-large__run_2","P003","le baron","run_2","3.0","67","ok","le baron","3","clean",""
"P003__llama-large__run_2","P003","la medina","run_2","4.0","147","ok","la medina","4","clean",""
"P003__llama-large__run_3","P003","dar el jeld","run_3","1.0","256","ok","dar el jeld","1","flagged",""
"P003__llama-large__run_3","P003","la maison blanche","run_3","2.0","72","ok","la maison blanche","2","flagged",""
"P003__llama-large__run_3","P003","el farouk","run_3","3.0","53","ok","el farouk","3","clean",""
"P003__llama-large__run_3","P003","la medina","run_3","4.0","147","ok","la medina","4","clean",""
"P003__llama-large__run_4","P003","dar el jeld","run_4","2.0","256","ok","dar el jeld","2","flagged",""
"P003__llama-large__run_4","P003","el mansour","run_4","4.0","52","ok","el mansour","4","clean",""
"P003__llama-large__run_4","P003","la medina","run_4","5.0","147","ok","la medina","5","clean",""
"P003__llama-large__run_5","P003","dar el jeld","run_5","1.0","256","ok","dar el jeld","1","flagged",""
"P003__llama-large__run_5","P003","la maison blanche","run_5","2.0","72","ok","la maison blanche","2","flagged",""
"P003__llama-large__run_5","P003","el mouradi","run_5","3.0","465","ok","el mouradi","3","clean",""
"P003__llama-large__run_5","P003","la kasbah","run_5","4.0","111","ok","la kasbah","4","flagged",""
"P004__llama-small__run_2","P004","la villa","run_2","4.0","56","ok","la villa","4","clean",""
"P004__llama-small__run_2","P004","le jardin","run_2","5.0","652","ok","le jardin","5","clean",""
"P004__llama-small__run_4","P004","el khayam","run_4","1.0","51","ok","el khayam","1","flagged",""
"P004__llama-small__run_4","P004","le grand café","run_4","5.0","49","ok","le grand café","5","clean",""
"P004__llama-small__run_4","P004","la casa","run_4","8.0","37","ok","la casa","8","flagged",""
"P004__llama-small__run_4","P004","le restaurant de la place","run_4","9.0","43","ok","le restaurant de la plage","9","flagged","le restaurant de la place"
"P004__llama-small__run_4","P004","le bistrot","run_4","10.0","107","ok","le bistrot","10","clean",""
"P004__llama-small__run_5","P004","el ksar","run_5","","51","ok","el ksar","999","clean",""
"P004__llama-small__run_5","P004","la badira","run_5","","43","ok","la badira","999","flagged",""
"P004__qwen-medium__run_1","P004","dar el jeld","run_1","2.0","1012","ok","dar el jeld","2","flagged",""
"P004__qwen-medium__run_1","P004","le port","run_1","3.0","458","ok","le port","3","flagged",""
"P004__qwen-medium__run_1","P004","el mouradi","run_1","","418","ok","el mouradi","999","clean",""
"P004__qwen-medium__run_2","P004","el bahri","run_2","2.0","89","ok","el bahri","2","clean",""
"P004__qwen-medium__run_2","P004","café de france","run_2","4.0","92","ok","café de france","4","clean",""
"P004__qwen-medium__run_2","P004","le jardin de la medina","run_2","","0","ok","le jardin de la medina","999","flagged",""
"P004__qwen-medium__run_2","P004","café des sports","run_2","7.0","76","ok","café des sports","7","clean",""
"P004__qwen-medium__run_2","P004","le jardin de sousse","run_2","9.0","71","ok","le jardin de sousse","9","flagged",""
"P004__qwen-medium__run_2","P004","café de l'union","run_2","14.0","583","ok","café de l'union","14","clean",""
"P004__qwen-medium__run_2","P004","café des arts","run_2","16.0","387","ok","café des arts","16","clean",""
"P004__qwen-medium__run_3","P004","la maison de la mer","run_3","1.0","1595","ok","la maison de la mer","1","flagged",""
"P004__qwen-medium__run_3","P004","le rendez-vous","run_3","3.0","1297","ok","le rendez-vous","3","clean",""
"P004__qwen-medium__run_3","P004","café de l'europe","run_3","4.0","1139","ok","café de l'europe","4","clean",""
"P004__qwen-medium__run_3","P004","bistrot de la mer","run_3","6.0","849","ok","le bistrot de la mer","6","flagged","bistrot de la mer"
"P004__qwen-medium__run_3","P004","restaurant el mouradi","run_3","8.0","563","ok","restaurant el mouradi","8","clean",""
"P004__qwen-medium__run_4","P004","la terrasse","run_4","1.0","1333","ok","la terrasse","1","clean",""
"P004__qwen-medium__run_4","P004","le jardin","run_4","2.0","652","ok","le jardin","2","clean",""
"P004__qwen-medium__run_4","P004","dar el jeld","run_4","3.0","1012","ok","dar el jeld","3","flagged",""
"P004__qwen-medium__run_4","P004","la perle","run_4","4.0","830","ok","la perle","4","flagged",""
"P004__qwen-medium__run_4","P004","café des arts","run_4","5.0","387","ok","café des arts","5","clean",""
"P004__qwen-medium__run_4","P004","souk el attarine","run_4","6.0","532","ok","souk el attarine","6","clean",""
"P004__qwen-medium__run_4","P004","dar el khemis","run_4","7.0","277","ok","dar el khemis","7","flagged",""
"P004__qwen-medium__run_5","P004","dar el khemis","run_5","3.0","277","ok","dar el khemis","3","flagged",""
"P004__qwen-medium__run_5","P004","la table de sousse","run_5","4.0","139","ok","la table de sousse","4","clean",""
"P004__qwen-medium__run_5","P004","café des arts","run_5","5.0","387","ok","café des arts","5","clean",""
"P004__qwen-medium__run_5","P004","le dinar","run_5","6.0","109","ok","le dinar","6","clean",""
"P004__llama-large__run_1","P004","le pirate","run_1","1.0","44","ok","le pirate","1","flagged",""
"P004__llama-large__run_1","P004","le corsaire","run_1","2.0","46","ok","le corsaire","2","flagged",""
"P004__llama-large__run_1","P004","le bosphore","run_1","3.0","49","ok","le bosphore","3","clean",""
"P004__llama-large__run_1","P004","le petit château","run_1","4.0","45","ok","le petit château","4","clean",""
"P004__llama-large__run_1","P004","dar el jem","run_1","5.0","44","ok","dar el jem","5","flagged",""
"P004__llama-large__run_1","P004","le café de la gare","run_1","6.0","39","ok","le café de la gare","6","clean",""
"P004__llama-large__run_1","P004","le restaurant de la médina","run_1","7.0","51","ok","le restaurant de la médina","7","clean",""
"P004__llama-large__run_2","P004","la medina","run_2","","18","ok","la medina","999","clean",""
"P004__llama-large__run_2","P004","el mansour","run_2","2.0","44","ok","el mansour","2","clean",""
"P004__llama-large__run_2","P004","la kasbah","run_2","3.0","53","ok","la kasbah","3","flagged",""
"P004__llama-large__run_2","P004","le corsaire","run_2","4.0","46","ok","le corsaire","4","flagged",""
"P004__llama-large__run_2","P004","la maison arabe","run_2","5.0","54","ok","la maison arabe","5","flagged",""
"P004__llama-large__run_2","P004","le petit chateau","run_2","","0","ok","le petit chateau","999","flagged",""
"P004__llama-large__run_2","P004","la belle epoque","run_2","","0","ok","la belle epoque","999","clean",""
"P004__llama-large__run_3","P004","el fell","run_3","1.0","51","ok","el fell","1","flagged",""
"P004__llama-large__run_3","P004","la medina","run_3","2.0","18","ok","la medina","2","clean",""
"P004__llama-large__run_3","P004","le port","run_3","3.0","458","ok","le port","3","flagged",""
"P004__llama-large__run_3","P004","dar el jazira","run_3","4.0","60","ok","dar el jaziri","4","clean","dar el jazira"
"P004__llama-large__run_3","P004","la kasbah","run_3","5.0","53","ok","la kasbah","5","flagged",""
"P004__llama-large__run_3","P004","le café de la plage","run_3","6.0","54","ok","le café de la plage","6","clean",""
"P004__llama-large__run_3","P004","el mouradi","run_3","7.0","418","ok","el mouradi","7","clean",""
"P004__llama-large__run_4","P004","el mansour","run_4","1.0","44","ok","el mansour","1","clean",""
"P004__llama-large__run_4","P004","la medina","run_4","2.0","18","ok","la medina","2","clean",""
"P004__llama-large__run_4","P004","le corail","run_4","3.0","42","ok","le corail","3","flagged",""
"P004__llama-large__run_4","P004","la kasbah","run_4","4.0","53","ok","la kasbah","4","flagged",""
"P004__llama-large__run_4","P004","el hana","run_4","5.0","44","ok","el hana","5","flagged",""
"P004__llama-large__run_4","P004","le poisson d'or","run_4","7.0","132","ok","le poisson d'or","7","clean",""
"P004__llama-large__run_5","P004","le grand café","run_5","1.0","49","ok","le grand café","1","clean",""
"P004__llama-large__run_5","P004","la maison de la medina","run_5","","0","ok","la maison de la medina","999","flagged",""
"P004__llama-large__run_5","P004","le café des nattes","run_5","4.0","47","ok","le café des nattes","4","clean",""
"P004__llama-large__run_5","P004","le café de la place","run_5","7.0","205","ok","le café de la place","7","clean",""
"P005__llama-small__run_2","P005","la kasbah","run_2","1.0","73","ok","la kasbah","1","flagged",""
"P005__llama-small__run_2","P005","le bled","run_2","2.0","56","ok","le bled","2","clean",""
"P005__llama-small__run_2","P005","la medina","run_2","3.0","49","ok","la medina","3","clean",""
"P005__llama-small__run_2","P005","le cap","run_2","4.0","494","ok","le cap","4","flagged",""
"P005__llama-small__run_2","P005","la terrasse","run_2","5.0","88","ok","la terrasse","5","clean",""
"P005__llama-small__run_3","P005","la kasbah","run_3","1.0","73","ok","la kasbah","1","flagged",""
"P005__llama-small__run_3","P005","le medina","run_3","2.0","71","ok","la medina","2","clean","le medina"
"P005__llama-small__run_3","P005","le grand vefour","run_3","5.0","119","ok","le grand vefour","5","clean",""
"P005__llama-small__run_4","P005","dar el annabi","run_4","1.0","69","ok","dar el annabi","1","clean",""
"P005__llama-small__run_4","P005","le dar el hana","run_4","2.0","344","ok","le dar el hana","2","clean",""
"P005__llama-small__run_4","P005","la kasbah","run_4","3.0","73","ok","la kasbah","3","flagged",""
"P005__llama-small__run_4","P005","le pacha","run_4","4.0","59","ok","le pacha","4","flagged",""
"P005__llama-small__run_5","P005","dar el jedid","run_5","1.0","95","ok","dar el jedid","1","flagged",""
"P005__llama-small__run_5","P005","la kasbah","run_5","2.0","73","ok","la kasbah","2","flagged",""
"P005__llama-small__run_5","P005","la villa bleue","run_5","4.0","135","ok","la villa bleue","4","clean",""
"P005__qwen-medium__run_1","P005","dar el jeld","run_1","1.0","637","ok","dar el jeld","1","flagged",""
"P005__qwen-medium__run_1","P005","le jardin de l'atlas","run_1","2.0","954","ok","le jardin de l'atlas","2","flagged",""
"P005__qwen-medium__run_1","P005","chez ali","run_1","3.0","640","ok","chez ali","3","clean",""
"P005__qwen-medium__run_2","P005","le cap","run_2","1.0","494","ok","le cap","1","flagged",""
"P005__qwen-medium__run_2","P005","dar el jeld","run_2","2.0","637","ok","dar el jeld","2","flagged",""
"P005__qwen-medium__run_2","P005","la maison de la couscous","run_2","3.0","641","ok","la maison de la couscous","3","flagged",""
"P005__qwen-medium__run_2","P005","chez ali","run_2","4.0","640","ok","chez ali","4","clean",""
"P005__qwen-medium__run_2","P005","le jardin de l'oasis","run_2","5.0","288","ok","le jardin de l'oasis","5","flagged",""
"P005__qwen-medium__run_3","P005","le jardin de carthage","run_3","1.0","1154","ok","le jardin de carthage","1","clean",""
"P005__qwen-medium__run_3","P005","la maison des saveurs","run_3","2.0","958","ok","la maison des saveurs","2","flagged",""
"P005__qwen-medium__run_3","P005","chez ali","run_3","3.0","640","ok","chez ali","3","clean",""
"P005__qwen-medium__run_3","P005","le dar el hana","run_3","4.0","344","ok","le dar el hana","4","clean",""
"P005__qwen-medium__run_4","P005","dar el jeld","run_4","1.0","637","ok","dar el jeld","1","flagged",""
"P005__qwen-medium__run_4","P005","chez ali","run_4","4.0","640","ok","chez ali","4","clean",""
"P005__qwen-medium__run_4","P005","sousse restaurant","run_4","5.0","343","ok","sousse restaurant","5","clean",""
"P005__qwen-medium__run_5","P005","chez sami","run_5","2.0","1113","ok","chez sami","2","flagged",""
"P005__qwen-medium__run_5","P005","restaurant el mouradi","run_5","4.0","444","ok","restaurant el mouradi","4","clean",""
"P005__qwen-medium__run_5","P005","le jardin de l'oasis","run_5","5.0","288","ok","le jardin de l'oasis","5","flagged",""
"P005__llama-large__run_1","P005","le grand bleu","run_1","1.0","59","ok","le grand bleu","1","flagged",""
"P005__llama-large__run_1","P005","dar el jeld","run_1","2.0","637","ok","dar el jeld","2","flagged",""
"P005__llama-large__run_1","P005","le petit château","run_1","3.0","62","ok","le petit château","3","clean",""
"P005__llama-large__run_1","P005","la maison arabe","run_1","4.0","59","ok","la maison arabe","4","flagged",""
"P005__llama-large__run_1","P005","restaurant de la médina","run_1","","291","ok","restaurant de la médina","999","clean",""
"P005__llama-large__run_2","P005","le calypso","run_2","1.0","174","ok","le calypso","1","flagged",""
"P005__llama-large__run_2","P005","le dar el jeld","run_2","2.0","86","ok","dar el jeld","2","flagged","le dar el jeld"
"P005__llama-large__run_2","P005","la maison arabe","run_2","3.0","59","ok","la maison arabe","3","flagged",""
"P005__llama-large__run_3","P005","le calife","run_3","1.0","62","ok","le calife","1","flagged",""
"P005__llama-large__run_3","P005","la maison arabe","run_3","2.0","59","ok","la maison arabe","2","flagged",""
"P005__llama-large__run_3","P005","le dar el jeld","run_3","3.0","86","ok","dar el jeld","3","flagged","le dar el jeld"
"P005__llama-large__run_3","P005","restaurant el mouradi","run_3","4.0","444","ok","restaurant el mouradi","4","clean",""
"P005__llama-large__run_4","P005","le calife","run_4","1.0","62","ok","le calife","1","flagged",""
"P005__llama-large__run_4","P005","dar el jeld","run_4","2.0","637","ok","dar el jeld","2","flagged",""
"P005__llama-large__run_4","P005","le grand bleu","run_4","3.0","59","ok","le grand bleu","3","flagged",""
"P005__llama-large__run_4","P005","la maison arabe","run_4","4.0","59","ok","la maison arabe","4","flagged",""
"P005__llama-large__run_4","P005","restaurant de la medina","run_4","5.0","0","ok","le restaurant de la medina","5","clean","restaurant de la medina"
"P005__llama-large__run_5","P005","dar el fell","run_5","1.0","58","ok","dar el fell","1","flagged",""
"P005__llama-large__run_5","P005","le petit château","run_5","2.0","62","ok","le petit château","2","clean",""
"P005__llama-large__run_5","P005","la maison arabe","run_5","3.0","59","ok","la maison arabe","3","flagged",""
"P005__llama-large__run_5","P005","el fell","run_5","4.0","58","ok","el fell","4","flagged",""
"P006__llama-small__run_1","P006","dar el jeld","run_1","1.0","407","ok","dar el jeld","1","flagged",""
"P006__llama-small__run_1","P006","la kasbah","run_1","2.0","71","ok","la kasbah","2","flagged",""
"P006__llama-small__run_1","P006","le dar el hana","run_1","3.0","87","ok","le dar el hana","3","clean",""
"P006__llama-small__run_3","P006","dar el jeld","run_3","1.0","407","ok","dar el jeld","1","flagged",""
"P006__llama-small__run_3","P006","la kasbah","run_3","2.0","71","ok","la kasbah","2","flagged",""
"P006__llama-small__run_3","P006","le grand vefour","run_3","3.0","58","ok","le grand vefour","3","clean",""
"P006__llama-small__run_3","P006","la medina","run_3","4.0","56","ok","la medina","4","clean",""
"P006__qwen-medium__run_1","P006","le jardin de l'atlas","run_1","1.0","1185","ok","le jardin de l'atlas","1","flagged",""
"P006__qwen-medium__run_1","P006","la maison de la couscous","run_1","2.0","991","ok","la maison de la couscous","2","flagged",""
"P006__qwen-medium__run_1","P006","le jardin","run_1","5.0","692","ok","le jardin","5","clean",""
