"response_id","prompt_id","entity","run_id","ranking_position","description_length_tokens"
"P002__llama-small__run_4","P002","zitouna café","run_4","3.0","74"
"P002__llama-small__run_5","P002","dar el jeld","run_5","1.0","76"
"P002__llama-small__run_5","P002","le belvédère","run_5","2.0","66"
"P002__llama-small__run_5","P002","café des nattes","run_5","3.0","83"
"P002__qwen-medium__run_1","P002","el mouradi","run_1","1.0","250"
"P002__qwen-medium__run_1","P002","dar zaytouna","run_1","2.0","236"
"P002__qwen-medium__run_1","P002","la tonnelle","run_1","3.0","386"
"P002__qwen-medium__run_2","P002","dar zaytouna","run_2","1.0","236"
"P002__qwen-medium__run_2","P002","el mouradi","run_2","2.0","250"
"P002__qwen-medium__run_2","P002","la maison des saveurs","run_2","3.0","421"
"P002__qwen-medium__run_3","P002","dar essoukaina","run_3","1.0","114"
"P002__qwen-medium__run_3","P002","le bosphore","run_3","2.0","122"
"P002__qwen-medium__run_3","P002","chez ali","run_3","3.0","162"
"P002__qwen-medium__run_4","P002","chez bahia","run_4","1.0","262"
"P002__qwen-medium__run_4","P002","dar jilani","run_4","2.0","208"
"P002__qwen-medium__run_4","P002","el mouradi gammarth","run_4","3.0","388"
"P002__qwen-medium__run_5","P002","dar el-andalous","run_5","1.0","192"
"P002__qwen-medium__run_5","P002","le jardin","run_5","2.0","179"
"P002__qwen-medium__run_5","P002","la sqala","run_5","3.0","183"
"P002__llama-large__run_1","P002","le grand vefour","run_1","1.0","69"
"P002__llama-large__run_1","P002","dar el jeld","run_1","2.0","76"
"P002__llama-large__run_1","P002","la maison de la medina","run_1","","0"
"P002__llama-large__run_2","P002","le grand vefour","run_2","1.0","69"
"P002__llama-large__run_2","P002","dar el jeld","run_2","2.0","76"
"P002__llama-large__run_2","P002","le resto","run_2","3.0","170"
"P002__llama-large__run_3","P002","le grand vefour","run_3","1.0","69"
"P002__llama-large__run_3","P002","le dar el jeld","run_3","2.0","89"
"P002__llama-large__run_3","P002","el ali","run_3","","136"
"P002__llama-large__run_4","P002","le grand vefour","run_4","1.0","69"
"P002__llama-large__run_4","P002","dar el jeld","run_4","2.0","76"
"P002__llama-large__run_4","P002","le rest'ô bar","run_4","3.0","109"
"P002__llama-large__run_5","P002","le grand vefour","run_5","1.0","69"
"P002__llama-large__run_5","P002","dar el jeld","run_5","2.0","76"
"P002__llama-large__run_5","P002","le rest'ô","run_5","3.0","152"
"P003__llama-small__run_1","P003","dar el jeld","run_1","1.0","256"
"P003__llama-small__run_1","P003","la grande mosquée","run_1","2.0","47"
"P003__llama-small__run_1","P003","la mer","run_1","3.0","53"
"P003__llama-small__run_1","P003","le souk","run_1","4.0","53"
"P003__llama-small__run_1","P003","al fennec","run_1","5.0","50"
"P003__llama-small__run_1","P003","le zitouna","run_1","6.0","42"
"P003__llama-small__run_1","P003","la terrasse","run_1","7.0","87"
"P003__llama-small__run_2","P003","dar el jeld","run_2","1.0","256"
"P003__llama-small__run_2","P003","aladin","run_2","2.0","47"
"P003__llama-small__run_2","P003","la terrasse","run_2","3.0","87"
"P003__llama-small__run_2","P003","le relais de la medina","run_2","4.0","0"
"P003__llama-small__run_2","P003","la kasbah","run_2","5.0","111"
"P003__llama-small__run_3","P003","el khayam","run_3","1.0","61"
"P003__llama-small__run_3","P003","le central","run_3","2.0","51"
"P003__llama-small__run_3","P003","el ksar","run_3","3.0","546"
"P003__llama-small__run_3","P003","la medina","run_3","","147"
"P003__llama-small__run_4","P003","dar el jeld","run_4","1.0","256"
"P003__llama-small__run_4","P003","al-bahja","run_4","2.0","49"
"P003__llama-small__run_4","P003","dar al-andalus","run_4","3.0","44"
"P003__llama-small__run_4","P003","al-mahdia","run_4","4.0","50"
"P003__llama-small__run_4","P003","dar el-bahr","run_4","5.0","100"
"P003__llama-small__run_5","P003","dar el jeld","run_5","1.0","256"
"P003__llama-small__run_5","P003","dar al andalous","run_5","2.0","41"
"P003__llama-small__run_5","P003","la kasbah","run_5","4.0","111"
"P003__llama-small__run_5","P003","dar el bahja","run_5","5.0","79"
"P003__qwen-medium__run_1","P003","dar jilani","run_1","1.0","1078"
"P003__qwen-medium__run_1","P003","le cours jilani","run_1","","1078"
"P003__qwen-medium__run_1","P003","la maison de l'artisan","run_1","2.0","861"
"P003__qwen-medium__run_1","P003","le jardin de la medina","run_1","3.0","660"
"P003__qwen-medium__run_1","P003","el bahri","run_1","4.0","468"
"P003__qwen-medium__run_2","P003","dar el-andalous","run_2","1.0","1167"
"P003__qwen-medium__run_2","P003","chez ali","run_2","2.0","707"
"P003__qwen-medium__run_2","P003","auberge ali","run_2","","995"
"P003__qwen-medium__run_2","P003","el mouradi","run_2","3.0","465"
"P003__qwen-medium__run_2","P003","la perle","run_2","4.0","703"
"P003__qwen-medium__run_2","P003","les jardins de carthage","run_2","5.0","569"
"P003__qwen-medium__run_2","P003","le jardin du sud","run_2","6.0","417"
"P003__qwen-medium__run_3","P003","la maison de l'épice","run_3","1.0","1307"
"P003__qwen-medium__run_3","P003","le jardin de sousse","run_3","2.0","1097"
"P003__qwen-medium__run_3","P003","café des nattes","run_3","3.0","900"
"P003__qwen-medium__run_3","P003","el baccouche","run_3","4.0","731"
"P003__qwen-medium__run_4","P003","dar el jeld","run_4","1.0","256"
"P003__qwen-medium__run_4","P003","la maison de la couscous","run_4","2.0","846"
"P003__qwen-medium__run_4","P003","le jardin","run_4","3.0","740"
"P003__qwen-medium__run_4","P003","chez ali","run_4","4.0","707"
"P003__qwen-medium__run_4","P003","du port","run_4","5.0","773"
"P003__qwen-medium__run_5","P003","dar el jeld","run_5","1.0","256"
"P003__qwen-medium__run_5","P003","el ksar","run_5","2.0","546"
"P003__qwen-medium__run_5","P003","le jardin","run_5","3.0","740"
"P003__qwen-medium__run_5","P003","chez ali","run_5","4.0","707"
"P003__qwen-medium__run_5","P003","la rotonde","run_5","5.0","416"
"P003__llama-large__run_1","P003","dar el jeld","run_1","1.0","256"
"P003__llama-large__run_1","P003","el mansour","run_1","2.0","52"
"P003__llama-large__run_1","P003","la maison arabe","run_1","3.0","63"
"P003__llama-large__run_1","P003","le pirate","run_1","4.0","67"
"P003__llama-large__run_1","P003","la medina","run_1","5.0","147"
"P003__llama-large__run_2","P003","dar el jeld","run_2","1.0","256"
"P003__llama-large__run_2","P003","la bougie","run_2","2.0","55"
"P003__llama-large__run_2","P003","le baron","run_2","3.0","67"
"P003__llama-large__run_2","P003","la medina","run_2","4.0","147"
"P003__llama-large__run_3","P003","dar el jeld","run_3","1.0","256"
"P003__llama-large__run_3","P003","la maison blanche","run_3","2.0","72"
"P003__llama-large__run_3","P003","el farouk","run_3","3.0","53"
"P003__llama-large__run_3","P003","la medina","run_3","4.0","147"
"P003__llama-large__run_4","P003","le restaurante el hana","run_4","1.0","50"
"P003__llama-large__run_4","P003","dar el jeld","run_4","2.0","256"
"P003__llama-large__run_4","P003","le restaurante la bougainville","run_4","3.0","58"
"P003__llama-large__run_4","P003","el mansour","run_4","4.0","52"
"P003__llama-large__run_4","P003","la medina","run_4","5.0","147"
"P003__llama-large__run_5","P003","dar el jeld","run_5","1.0","256"
"P003__llama-large__run_5","P003","la maison blanche","run_5","2.0","72"
"P003__llama-large__run_5","P003","el mouradi","run_5","3.0","465"
"P003__llama-large__run_5","P003","la kasbah","run_5","4.0","111"
"P004__llama-small__run_2","P004","bled kerkenna","run_2","1.0","63"
"P004__llama-small__run_2","P004","l'ambassade","run_2","2.0","57"
"P004__llama-small__run_2","P004","le soleil","run_2","3.0","60"
"P004__llama-small__run_2","P004","la villa","run_2","4.0","56"
"P004__llama-small__run_2","P004","le jardin","run_2","5.0","652"
"P004__llama-small__run_3","P004","restaurant du rihane","run_3","1.0","33"
"P004__llama-small__run_3","P004","restaurant de la plage de sakiet eddiar","run_3","2.0","40"
"P004__llama-small__run_3","P004","restaurant du centre commercial sfax park","run_3","3.0","35"
"P004__llama-small__run_3","P004","restaurant de la plage de kerkennah","run_3","4.0","51"
"P004__llama-small__run_3","P004","restaurant de la medina de sfax","run_3","5.0","0"
"P004__llama-small__run_4","P004","el khayam","run_4","1.0","51"
"P004__llama-small__run_4","P004","le mougard","run_4","2.0","42"
"P004__llama-small__run_4","P004","le sfaxois","run_4","3.0","41"
"P004__llama-small__run_4","P004","la calanque","run_4","4.0","41"
"P004__llama-small__run_4","P004","le grand café","run_4","5.0","49"
"P004__llama-small__run_4","P004","restaurant le beach","run_4","6.0","37"
"P004__llama-small__run_4","P004","la mer de sfax","run_4","7.0","35"
"P004__llama-small__run_4","P004","la casa","run_4","8.0","37"
"P004__llama-small__run_4","P004","le restaurant de la place","run_4","9.0","43"
"P004__llama-small__run_4","P004","le bistrot","run_4","10.0","107"
"P004__llama-small__run_5","P004","el ksar","run_5","","51"
"P004__llama-small__run_5","P004","la badira","run_5","","43"
"P004__qwen-medium__run_1","P004","le jardin de sfax","run_1","1.0","1169"
"P004__qwen-medium__run_1","P004","dar el jeld","run_1","2.0","1012"
"P004__qwen-medium__run_1","P004","le port","run_1","3.0","458"
"P004__qwen-medium__run_1","P004","el mouradi","run_1","","418"
"P004__qwen-medium__run_1","P004","brik palace","run_1","5.0","603"
"P004__qwen-medium__run_1","P004","le clos de la mer","run_1","6.0","448"
"P004__qwen-medium__run_2","P004","chez ziad","run_2","1.0","93"
"P004__qwen-medium__run_2","P004","el bahri","run_2","2.0","89"
"P004__qwen-medium__run_2","P004","dar al-andalous","run_2","3.0","97"
"P004__qwen-medium__run_2","P004","café de france","run_2","4.0","92"
"P004__qwen-medium__run_2","P004","le jardin de la medina","run_2","","0"
"P004__qwen-medium__run_2","P004","la terrasse du palais des congrès","run_2","6.0","77"
"P004__qwen-medium__run_2","P004","café des sports","run_2","7.0","76"
"P004__qwen-medium__run_2","P004","restaurant al manar","run_2","8.0","82"
"P004__qwen-medium__run_2","P004","le jardin de sousse","run_2","9.0","71"
"P004__qwen-medium__run_2","P004","café de l'union","run_2","14.0","583"
"P004__qwen-medium__run_2","P004","café el karam","run_2","15.0","363"
"P004__qwen-medium__run_2","P004","café des arts","run_2","16.0","387"
"P004__qwen-medium__run_3","P004","la maison de la mer","run_3","1.0","1595"
"P004__qwen-medium__run_3","P004","restaurant el gueddari","run_3","2.0","1441"
"P004__qwen-medium__run_3","P004","le rendez-vous","run_3","3.0","1297"
"P004__qwen-medium__run_3","P004","café de l'europe","run_3","4.0","1139"
"P004__qwen-medium__run_3","P004","bistrot de la mer","run_3","6.0","849"
"P004__qwen-medium__run_3","P004","sousse beach restaurant","run_3","7.0","704"
"P004__qwen-medium__run_3","P004","restaurant el mouradi","run_3","8.0","563"
"P004__qwen-medium__run_4","P004","la terrasse","run_4","1.0","1333"
"P004__qwen-medium__run_4","P004","le jardin","run_4","2.0","652"
"P004__qwen-medium__run_4","P004","dar el jeld","run_4","3.0","1012"
"P004__qwen-medium__run_4","P004","la perle","run_4","4.0","830"
"P004__qwen-medium__run_4","P004","café des arts","run_4","5.0","387"
"P004__qwen-medium__run_4","P004","souk el attarine","run_4","6.0","532"
"P004__qwen-medium__run_4","P004","dar el khemis","run_4","7.0","277"
"P004__qwen-medium__run_5","P004","le jardin des orangers","run_5","1.0","154"
"P004__qwen-medium__run_5","P004","le riche","run_5","2.0","141"
"P004__qwen-medium__run_5","P004","dar el khemis","run_5","3.0","277"
"P004__qwen-medium__run_5","P004","la table de sousse","run_5","4.0","139"
"P004__qwen-medium__run_5","P004","café des arts","run_5","5.0","387"
"P004__qwen-medium__run_5","P004","le dinar","run_5","6.0","109"
"P004__qwen-medium__run_5","P004","les jardins de sousse","run_5","7.0","104"
"P004__llama-large__run_1","P004","le pirate","run_1","1.0","44"
"P004__llama-large__run_1","P004","le corsaire","run_1","2.0","46"
"P004__llama-large__run_1","P004","le bosphore","run_1","3.0","49"
"P004__llama-large__run_1","P004","le petit château","run_1","4.0","45"
"P004__llama-large__run_1","P004","dar el jem","run_1","5.0","44"
"P004__llama-large__run_1","P004","le café de la gare","run_1","6.0","39"
"P004__llama-large__run_1","P004","le restaurant de la médina","run_1","7.0","51"
"P004__llama-large__run_1","P004","le fish market","run_1","8.0","96"
"P004__llama-large__run_2","P004","la medina","run_2","","18"
"P004__llama-large__run_2","P004","el mansour","run_2","2.0","44"
"P004__llama-large__run_2","P004","la kasbah","run_2","3.0","53"
"P004__llama-large__run_2","P004","le corsaire","run_2","4.0","46"
"P004__llama-large__run_2","P004","la maison arabe","run_2","5.0","54"
"P004__llama-large__run_2","P004","le petit chateau","run_2","","0"
"P004__llama-large__run_2","P004","la belle epoque","run_2","","0"
"P004__llama-large__run_3","P004","el fell","run_3","1.0","51"
"P004__llama-large__run_3","P004","la medina","run_3","2.0","18"
"P004__llama-large__run_3","P004","le port","run_3","3.0","458"
"P004__llama-large__run_3","P004","dar el jazira","run_3","4.0","60"
"P004__llama-large__run_3","P004","la kasbah","run_3","5.0","53"
"P004__llama-large__run_3","P004","le café de la plage","run_3","6.0","54"
"P004__llama-large__run_3","P004","el mouradi","run_3","7.0","418"
"P004__llama-large__run_4","P004","el mansour","run_4","1.0","44"
"P004__llama-large__run_4","P004","la medina","run_4","2.0","18"
"P004__llama-large__run_4","P004","le corail","run_4","3.0","42"
"P004__llama-large__run_4","P004","la kasbah","run_4","4.0","53"
"P004__llama-large__run_4","P004","el hana","run_4","5.0","44"
"P004__llama-large__run_4","P004","le poisson d'or","run_4","7.0","132"
"P004__llama-large__run_5","P004","le grand café","run_5","1.0","49"
"P004__llama-large__run_5","P004","la maison de la medina","run_5","","0"
"P004__llama-large__run_5","P004","le restaurant el mansour","run_5","3.0","41"
"P004__llama-large__run_5","P004","le café des nattes","run_5","4.0","47"
"P004__llama-large__run_5","P004","le restaurant la kasbah","run_5","5.0","43"
"P004__llama-large__run_5","P004","le restaurant el fassi","run_5","6.0","41"
"P004__llama-large__run_5","P004","le café de la place","run_5","7.0","205"
"P005__llama-small__run_2","P005","la kasbah","run_2","1.0","73"
"P005__llama-small__run_2","P005","le bled","run_2","2.0","56"
"P005__llama-small__run_2","P005","la medina","run_2","3.0","49"
"P005__llama-small__run_2","P005","le cap","run_2","4.0","494"
"P005__llama-small__run_2","P005","la terrasse","run_2","5.0","88"
"P005__llama-small__run_3","P005","la kasbah","run_3","1.0","73"
"P005__llama-small__run_3","P005","le medina","run_3","2.0","71"
"P005__llama-small__run_3","P005","le tournedos","run_3","3.0","64"
"P005__llama-small__run_3","P005","la maison d'hôte","run_3","4.0","64"
"P005__llama-small__run_3","P005","le grand vefour","run_3","5.0","119"
"P005__llama-small__run_4","P005","dar el annabi","run_4","1.0","69"
"P005__llama-small__run_4","P005","le dar el hana","run_4","2.0","344"
"P005__llama-small__run_4","P005","la kasbah","run_4","3.0","73"
"P005__llama-small__run_4","P005","le pacha","run_4","4.0","59"
"P005__llama-small__run_4","P005","le sidi mahrez","run_4","5.0","138"
"P005__llama-small__run_5","P005","dar el jedid","run_5","1.0","95"
"P005__llama-small__run_5","P005","la kasbah","run_5","2.0","73"
"P005__llama-small__run_5","P005","le 19","run_5","3.0","67"
"P005__llama-small__run_5","P005","la villa bleue","run_5","4.0","135"
"P005__qwen-medium__run_1","P005","dar el jeld","run_1","1.0","637"
"P005__qwen-medium__run_1","P005","le jardin de l'atlas","run_1","2.0","954"
"P005__qwen-medium__run_1","P005","chez ali","run_1","3.0","640"
"P005__qwen-medium__run_1","P005","el mouradi hammamet","run_1","4.0","593"
"P005__qwen-medium__run_1","P005","le clos de la marine","run_1","5.0","425"
"P005__qwen-medium__run_2","P005","le cap","run_2","1.0","494"
"P005__qwen-medium__run_2","P005","dar el jeld","run_2","2.0","637"
"P005__qwen-medium__run_2","P005","la maison de la couscous","run_2","3.0","641"
"P005__qwen-medium__run_2","P005","chez ali","run_2","4.0","640"
"P005__qwen-medium__run_2","P005","le jardin de l'oasis","run_2","5.0","288"
"P005__qwen-medium__run_3","P005","le jardin de carthage","run_3","1.0","1154"
"P005__qwen-medium__run_3","P005","la maison des saveurs","run_3","2.0","958"
"P005__qwen-medium__run_3","P005","chez ali","run_3","3.0","640"
"P005__qwen-medium__run_3","P005","le dar el hana","run_3","4.0","344"
"P005__qwen-medium__run_3","P005","le restaurant el karama","run_3","5.0","450"
"P005__qwen-medium__run_4","P005","dar el jeld","run_4","1.0","637"
"P005__qwen-medium__run_4","P005","la maison de kheireddine","run_4","2.0","901"
"P005__qwen-medium__run_4","P005","le msemmen","run_4","3.0","698"
"P005__qwen-medium__run_4","P005","chez ali","run_4","4.0","640"
"P005__qwen-medium__run_4","P005","sousse restaurant","run_4","5.0","343"
"P005__qwen-medium__run_5","P005","dar essouiri","run_5","1.0","1323"
"P005__qwen-medium__run_5","P005","chez sami","run_5","2.0","1113"
"P005__qwen-medium__run_5","P005","el jem restaurant","run_5","3.0","934"
"P005__qwen-medium__run_5","P005","restaurant el mouradi","run_5","4.0","444"
"P005__qwen-medium__run_5","P005","le jardin de l'oasis","run_5","5.0","288"
"P005__llama-large__run_1","P005","le grand bleu","run_1","1.0","59"
"P005__llama-large__run_1","P005","dar el jeld","run_1","2.0","637"
"P005__llama-large__run_1","P005","le petit château","run_1","3.0","62"
"P005__llama-large__run_1","P005","la maison arabe","run_1","4.0","59"
"P005__llama-large__run_1","P005","restaurant de la médina","run_1","","291"
"P005__llama-large__run_2","P005","le calypso","run_2","1.0","174"
"P005__llama-large__run_2","P005","le dar el jeld","run_2","2.0","86"
"P005__llama-large__run_2","P005","la maison arabe","run_2","3.0","59"
"P005__llama-large__run_3","P005","le calife","run_3","1.0","62"
"P005__llama-large__run_3","P005","la maison arabe","run_3","2.0","59"
"P005__llama-large__run_3","P005","le dar el jeld","run_3","3.0","86"
"P005__llama-large__run_3","P005","restaurant el mouradi","run_3","4.0","444"
"P005__llama-large__run_4","P005","le calife","run_4","1.0","62"
"P005__llama-large__run_4","P005","dar el jeld","run_4","2.0","637"
"P005__llama-large__run_4","P005","le grand bleu","run_4","3.0","59"
"P005__llama-large__run_4","P005","la maison arabe","run_4","4.0","59"
"P005__llama-large__run_4","P005","restaurant de la medina","run_4","5.0","0"
"P005__llama-large__run_5","P005","dar el fell","run_5","1.0","58"
"P005__llama-large__run_5","P005","le petit château","run_5","2.0","62"
"P005__llama-large__run_5","P005","la maison arabe","run_5","3.0","59"
"P005__llama-large__run_5","P005","el fell","run_5","4.0","58"
"P006__llama-small__run_1","P006","dar el jeld","run_1","1.0","407"
"P006__llama-small__run_1","P006","la kasbah","run_1","2.0","71"
"P006__llama-small__run_1","P006","le dar el hana","run_1","3.0","87"
"P006__llama-small__run_3","P006","dar el jeld","run_3","1.0","407"
"P006__llama-small__run_3","P006","la kasbah","run_3","2.0","71"
"P006__llama-small__run_3","P006","le grand vefour","run_3","3.0","58"
"P006__llama-small__run_3","P006","la medina","run_3","4.0","56"
"P006__llama-small__run_3","P006","restaurant du palais","run_3","","107"
"P006__qwen-medium__run_1","P006","le jardin de l'atlas","run_1","1.0","1185"
"P006__qwen-medium__run_1","P006","la maison de la couscous","run_1","2.0","991"
"P006__qwen-medium__run_1","P006","chez said (dar said)","run_1","3.0","820"
"P006__qwen-medium__run_1","P006","dar chedli","run_1","4.0","671"
"P006__qwen-medium__run_1","P006","le jardin","run_1","5.0","692"
"P006__qwen-medium__run_2","P006","chez rahmat","run_2","1.0","215"
"P006__qwen-medium__run_2","P006","le jardin","run_2","2.0","692"
"P006__qwen-medium__run_2","P006","dar essaffar","run_2","3.0","175"
"P006__qwen-medium__run_2","P006","le comptoir de l'espoir","run_2","4.0","174"
"P006__qwen-medium__run_2","P006","café de paris","run_2","5.0","572"
"P006__qwen-medium__run_3","P006","le pacha","run_3","1.0","1163"
"P006__qwen-medium__run_3","P006","dar el jeld","run_3","2.0","407"
"P006__qwen-medium__run_3","P006","la maison de la tradition","run_3","3.0","698"
"P006__qwen-medium__run_3","P006","chez béchir","run_3","4.0","477"
"P006__qwen-medium__run_4","P006","le miroir de carthage","run_4","1.0","1134"
"P006__qwen-medium__run_4","P006","dar el-andalou","run_4","2.0","879"
"P006__qwen-medium__run_4","P006","dar jellouli","run_4","3.0","623"
"P006__qwen-medium__run_4","P006","chez ali","run_4","4.0","380"
"P006__qwen-medium__run_4","P006","chez noureddine","run_4","5.0","380"
"P006__qwen-medium__run_5","P006","dar el jeld","run_5","1.0","407"
"P006__qwen-medium__run_5","P006","le trianon","run_5","2.0","908"
"P006__qwen-medium__run_5","P006","la maison du couscous","run_5","3.0","733"
"P006__qwen-medium__run_5","P006","café de paris","run_5","4.0","572"
"P006__qwen-medium__run_5","P006","restaurant el mouradi","run_5","5.0","443"
"P006__llama-large__run_1","P006","le grand vefour","run_1","1.0","58"
"P006__llama-large__run_1","P006","la maison arabe","run_1","2.0","76"
"P006__llama-large__run_1","P006","le dar el jeld","run_1","3.0","65"
"P006__llama-large__run_1","P006","la kasbah","run_1","4.0","71"
"P006__llama-large__run_1","P006","le café de la kasbah","run_1","5.0","177"
"P006__llama-large__run_2","P006","le grand vefour","run_2","1.0","58"
"P006__llama-large__run_2","P006","le dar el jeld","run_2","2.0","65"
"P006__llama-large__run_2","P006","le café de paris","run_2","3.0","66"
"P006__llama-large__run_2","P006","el menzah","run_2","4.0","65"
"P006__llama-large__run_2","P006","la maison arabe","run_2","5.0","76"
"P006__llama-large__run_3","P006","le grand vefour","run_3","1.0","58"
"P006__llama-large__run_3","P006","le dar el jeld","run_3","2.0","65"
"P006__llama-large__run_3","P006","la maison arabe","run_3","3.0","76"
"P006__llama-large__run_3","P006","le couscous center","run_3","4.0","65"
"P006__llama-large__run_3","P006","el ali","run_3","5.0","180"
"P006__llama-large__run_4","P006","le grand vefour","run_4","1.0","58"
"P006__llama-large__run_4","P006","la maison arabe","run_4","2.0","76"
"P006__llama-large__run_4","P006","le restaurant el ali","run_4","3.0","47"
"P006__llama-large__run_4","P006","le couscous de la medina","run_4","4.0","20"
"P006__llama-large__run_4","P006","dar el jeld","run_4","5.0","407"
"P006__llama-large__run_5","P006","le grand vefour","run_5","1.0","58"
"P006__llama-large__run_5","P006","le couscous de la medina","run_5","2.0","20"
