"entity","action","reason","phase"
"le jardin d'azur","dropped","singleton","A"
"le bistrot de la gare","dropped","singleton","A"
"le comptoir de la mer","dropped","singleton","A"
"la pergola","dropped","singleton","A"
"la villa des palmiers","dropped","singleton","A"
"le jardin d'été","dropped","singleton","A"
"la table de marsa","dropped","singleton","A"
"jardin de marsa","dropped","singleton","A"
"le port de marsa","dropped","singleton","A"
"la perle de la mer","dropped","singleton","A"
"le restaurant du palais el jeld","dropped","singleton","A"
"ouzini","dropped","singleton","A"
"al kram","dropped","singleton","A"
"la table de carthage","dropped","singleton","A"
"le comptoir de la marsa","dropped","singleton","A"
"pizzeria da vinci","dropped","singleton","A"
"le palais de la marsa","dropped","singleton","A"
"la végétal","dropped","singleton","A"
"café du soleil","dropped","singleton","A"
"chez ali (la marsa)","dropped","singleton","A"
"le jardin de la marsa","dropped","singleton","A"
"café de la marsa","dropped","singleton","A"
"rendez-vous","dropped","singleton","A"
"le comptoir du lac","dropped","singleton","A"
"le bistrot du coin","dropped","singleton","A"
"le restaurant de l'hôtel la marsa","dropped","singleton","A"
"le restaurant al fassia","dropped","singleton","A"
"le restaurant de la marina","dropped","singleton","A"
"restaurant ksar habs","dropped","singleton","A"
"le restaurant la villa","dropped","singleton","A"
"le restaurant al khayam","dropped","singleton","A"
"el hout","dropped","singleton","A"
"chez amina","dropped","singleton","A"
"dar al-ma3mou3","dropped","singleton","A"
"la maison de l'oncle","dropped","singleton","A"
"boulangerie el atrache","dropped","singleton","A"
"chez bachir","dropped","singleton","A"
"la terrasse du jardin","dropped","singleton","A"
"le bistrot de sousse","dropped","singleton","A"
"restaurant el bostan","dropped","singleton","A"
"la table de l'hippodrome","dropped","singleton","A"
"restaurant du palais de sousse","dropped","singleton","A"
"le poisson rouge","dropped","singleton","A"
"la côte d'azur","dropped","singleton","A"
"le café de la république","dropped","singleton","A"
"le poisson bleu","dropped","singleton","A"
"chez slama","dropped","singleton","A"
"el akkad","dropped","singleton","A"
"le jardin de l'agdal","dropped","singleton","A"
"ksar ezzitouna","dropped","singleton","A"
"le central café","dropped","singleton","A"
"la terrasse de la kasbah","dropped","singleton","A"
"le jardin des dames","dropped","singleton","A"
"chez zouhour","dropped","singleton","A"
"le dar bel air","dropped","singleton","A"
"la maison de la culture","dropped","singleton","A"
"café des historiques","dropped","singleton","A"
"dar beladhra","dropped","singleton","A"
"el khawarizmi","dropped","singleton","A"
"chez brahim","dropped","singleton","A"
"le clos des epices","dropped","singleton","A"
"al farouk","dropped","singleton","A"
"le jardin de l'hippodrome","dropped","singleton","A"
"le jardin de l'attarine","dropped","singleton","A"
"chez chams","dropped","singleton","A"
"la terrasse du ryad dar jelloud","dropped","singleton","A"
"le grand hôtel de la medina","dropped","singleton","A"
"sahbi","dropped","singleton","A"
"dar el moudjahid","dropped","singleton","A"
"dar kheireddine","dropped","singleton","A"
"le comptoir de la medina","dropped","singleton","A"
"chez chedly","dropped","singleton","A"
"le gourmand","dropped","singleton","A"
"la taverne du baccouche","dropped","singleton","A"
"la ferme du baccouche","dropped","singleton","A"
"les petits plats du baccouche","dropped","singleton","A"
"le grand café de la goutte d'or","dropped","singleton","A"
"l'aromat","dropped","singleton","A"
"le marché de la nuit","dropped","singleton","A"
"sousse à tunis","dropped","singleton","A"
"le chai des épices","dropped","singleton","A"
"la boussole","dropped","singleton","A"
"restaurant des épices","dropped","singleton","A"
"bistrot de la medina","dropped","singleton","A"
"le café sidi bou mendil","dropped","singleton","A"
"la villa des pins","dropped","singleton","A"
"la cascade","dropped","singleton","A"
"le petit chalet","dropped","singleton","A"
"chez rahma","dropped","singleton","A"
"le bistrot du marché","dropped","singleton","A"
"restaurant dar el-andalou","dropped","singleton","A"
"chez slim (la maison de slimane)","dropped","singleton","A"
"le jardin de la sultane","dropped","singleton","A"
"la table de sidi bou said","dropped","singleton","A"
"les bains de carthage","dropped","singleton","A"
"la maison de la fontaine","dropped","singleton","A"
"le riad des oliviers","dropped","singleton","A"
"le restaurant de la maison bleue","dropped","singleton","A"
"café de l’horloge","dropped","singleton","A"
"le caprice","dropped","singleton","A"
"la terrasse de dar el jeld","dropped","singleton","A"
"el khemis","dropped","singleton","A"
"brik el khemis","dropped","singleton","A"
"le dar el chaba","dropped","singleton","A"
"la maison de la mère","dropped","singleton","A"
"la taverne du marché","dropped","singleton","A"
"le restaurant de la place du souk","dropped","singleton","A"
"le café de la ville","dropped","singleton","A"
"le restaurant du marché","dropped","singleton","A"
"la taverne de la place","dropped","singleton","A"
"le café de la rue","dropped","singleton","A"
"la table de sfax","dropped","singleton","A"
"chez zied","dropped","singleton","A"
"le café de la mosquée","dropped","singleton","A"
"el jazira","dropped","singleton","A"
"bab el bahr","dropped","singleton","A"
"dar el ghandour","dropped","singleton","A"
"le jardin des épices","dropped","singleton","A"
"le jardin de l’oasis","dropped","singleton","A"
"grillades de la médina","dropped","singleton","A"
"sandwicherie el mouradi","dropped","singleton","A"
"le petit paris","dropped","singleton","A"
"café el kébir","dropped","singleton","A"
"la taverne de la kasbah","dropped","singleton","A"
"dar hafs","dropped","singleton","A"
"saphir","dropped","singleton","A"
"dar hfaiedh","dropped","singleton","A"
"le rempart de sousse","dropped","singleton","A"
"le port de sousse","dropped","singleton","A"
"dar zitouna","dropped","singleton","A"
"jardin de sousse","dropped","singleton","A"
"restaurant el djerba","dropped","singleton","A"
"restaurant la kasbah","dropped","singleton","A"
"café des artistes","dropped","singleton","A"
"dar dhiafa","dropped","singleton","A"
"la pâtisserie de sfax","dropped","singleton","A"
"le glacier de la médina","dropped","singleton","A"
"café le petit château","dropped","singleton","A"
"le relais de la kasbah","dropped","singleton","A"
"la table d'olivia","dropped","singleton","A"
"le petit parisien","dropped","singleton","A"
"la table d'argent","dropped","singleton","A"
"le relais des pêcheurs","dropped","singleton","A"
"la terrasse du palais","dropped","singleton","A"
"le bistrot de l'union","dropped","singleton","A"
"la table du soleil","dropped","singleton","A"
"le comptoir de tunis","dropped","singleton","A"
"la terrasse du palais de la culture","dropped","singleton","A"
"le septième ciel","dropped","singleton","A"
"le jardin de l’escargot","dropped","singleton","A"
"le grand bistro","dropped","singleton","A"
"la table du palais","dropped","singleton","A"
"restaurant de l'hôtel africa","dropped","singleton","A"
"restaurant la mammounia","dropped","singleton","A"
"la closerie","dropped","singleton","A"
"le café m'rabet","dropped","singleton","A"
"le grand hôtel du lac","dropped","singleton","A"
"le grand hôtel de tunis","dropped","singleton","A"
"le royal azur","dropped","singleton","A"
"moez","dropped","singleton","A"
"le jardin d'eden","dropped","singleton","A"
"la grande maison","dropped","singleton","A"
"le café des artistes","dropped","singleton","A"
"al khimar","dropped","singleton","A"
"le vélodrome","dropped","singleton","A"
"le grand hôtel de la marsa","dropped","singleton","A"
"le café des ambassadeurs","dropped","singleton","A"
"la maison de la vigne","dropped","singleton","A"
"le jardin de bab souika","dropped","singleton","A"
"le saint-germain","dropped","singleton","A"
"le 360°","dropped","singleton","A"
"le grand café de la goulette","dropped","singleton","A"
"le restaurant du lac","dropped","singleton","A"
"le rempart","dropped","singleton","A"
"la sultana sousse","dropped","singleton","A"
"le bistrot des épices","dropped","singleton","A"
"la maison du vin","dropped","singleton","A"
"le club de sousse","dropped","singleton","A"
"restaurant el jazira","dropped","singleton","A"
"la perle de sousse","dropped","singleton","A"
"le dhow","dropped","singleton","A"
"la fenice","dropped","singleton","A"
"le taverne du port","dropped","singleton","A"
"le medina restaurant","dropped","singleton","A"
"la daurade","dropped","singleton","A"
"le restaurant de l'hôtel méditerranée","dropped","singleton","A"
"le méditerranée","dropped","singleton","A"
"le marina","dropped","singleton","A"
"le restaurant traditionnel la kasbah","dropped","singleton","A"
"dar khallaf","dropped","singleton","A"
"taj mahal","dropped","singleton","A"
"riad la sultana","dropped","singleton","A"
"dar el-beida","dropped","singleton","A"
"dar el-asfar","dropped","singleton","A"
"le jardin de skanes","dropped","singleton","A"
"le joli restaurant","dropped","singleton","A"
"le restaurant la maison du chèche","dropped","singleton","A"
"le restaurant le jardin de la kasbah","dropped","singleton","A"
"dar el jeld monastir","dropped","singleton","A"
"dar monastir","dropped","singleton","A"
"domaine de l'olivier","dropped","singleton","A"
"maison de campagne mahdia","dropped","singleton","A"
"maison de campagne gabès","dropped","singleton","A"
"dar mokni","dropped","singleton","A"
"dar monastir thalasso","dropped","singleton","A"
"chez zouina","dropped","singleton","A"
"société de réception et traiteur el amal","dropped","singleton","A"
"catering monastir","dropped","singleton","A"
"hotel ali baba","dropped","singleton","A"
"hotel sol azur","dropped","singleton","A"
"la villa résidence","dropped","singleton","A"
"le jardin d'eau","dropped","singleton","A"
"le diplomate","dropped","singleton","A"
"la villa rageub","dropped","singleton","A"
"le capricorne","dropped","singleton","A"
"le restaurant du lido","dropped","singleton","A"
"le restaurant de l'hôtel sahara beach","dropped","singleton","A"
"le gourmet","dropped","singleton","A"
"le jardin d’enzo","dropped","singleton","A"
"la maison du thé","dropped","singleton","A"
"le jardin de l’olivier","dropped","singleton","A"
"la terrasse de l’océan","dropped","singleton","A"
"restaurant el mouradi djerba thalasso","dropped","singleton","A"
"restaurant club rihab","dropped","singleton","A"
"radisson blu resort djerba","dropped","singleton","A"
"club vacanciel djerba thalasso","dropped","singleton","A"
"hotel el mouradi","dropped","singleton","A"
"le nido","dropped","singleton","A"
"le mirador","dropped","singleton","A"
"la table de la mer","dropped","singleton","A"
"le dar el fell","dropped","singleton","A"
"le yacout","dropped","singleton","A"
"le mosaic","dropped","singleton","A"
"le lalla","dropped","singleton","A"
"la table d'oliven","dropped","singleton","A"
"le relais de l'arche","dropped","singleton","A"
"le zitoun","dropped","singleton","A"
"le clos de l'alhambra","dropped","singleton","A"
"sidi mehrez","dropped","singleton","A"
"la table du pacha","dropped","singleton","A"
"la terrasse de carthage","dropped","singleton","A"
"maison des saveurs","dropped","singleton","A"
"dar el dinar","dropped","singleton","A"
"café des nations","dropped","singleton","A"
"dar zina","dropped","singleton","A"
"dar hani","dropped","singleton","A"
"carthage palace hotel restaurant","dropped","singleton","A"
"el mouradi tunis restaurant","dropped","singleton","A"
"le marhaba","dropped","singleton","A"
"dar el andalous","dropped","singleton","A"
"la bousbihta","dropped","singleton","A"
"el jem","dropped","singleton","A"
"le pasha","dropped","singleton","A"
"the fish market","dropped","singleton","A"
"the beach restaurant","dropped","singleton","A"
"lella baroudi","dropped","singleton","A"
"restaurant le chalet","dropped","singleton","A"
"restaurant de l'hôtel palmyra","dropped","singleton","A"
"kerkennah","dropped","singleton","A"
"le café du boulevard","dropped","singleton","A"
"la gare","dropped","singleton","A"
"la brasserie de sousse","dropped","singleton","A"
"le restaurant du palais de la lune","dropped","singleton","A"
"le café de la place du 14 janvier","dropped","singleton","A"
"la maison de la gourmandise","dropped","singleton","A"
"le jardin de l'empereur","dropped","singleton","A"
"le phénix","dropped","singleton","A"
"dar hafsia","dropped","singleton","A"
"la maison de la ville","dropped","singleton","A"
"le restaurant de l’hôtel de paris","dropped","singleton","A"
"la perle de carthage","dropped","singleton","A"
"le jardin de l’europe","dropped","singleton","A"
"le saint germain","dropped","singleton","A"
"maison kamel","dropped","singleton","A"
"la toscana","dropped","singleton","A"
"le médina café","dropped","singleton","A"
"café maqrissa","dropped","singleton","A"
"essaouira","dropped","singleton","A"
"al fakhoura","dropped","singleton","A"
"le djenane","dropped","singleton","A"
"dar tounes","dropped","singleton","A"
"el mida","dropped","singleton","A"
"la taverne","dropped","singleton","A"
"la rose des sables","dropped","singleton","A"
"dar zaytoun","dropped","singleton","A"
"el moez","dropped","singleton","A"
"restaurant le poisson rouge","dropped","singleton","A"
"restaurant la maison blanche","dropped","singleton","A"
"restaurant el fell","dropped","singleton","A"
"el ferdaous","dropped","singleton","A"
"café de la grande mosquée","dropped","singleton","A"
"le lotus","dropped","singleton","A"
"la villa de noailles","dropped","singleton","A"
"la pizzeria de la plage","dropped","singleton","A"
"le village","dropped","singleton","A"
"le jardin de l’atlas","dropped","singleton","A"
"chez ali el kantaoui","dropped","singleton","A"
"restaurant le souk","dropped","singleton","A"
"la table du phare","dropped","singleton","A"
"le jardin des plumes","dropped","singleton","A"
"el bida","dropped","singleton","A"
"le jardin d'essence","dropped","singleton","A"
"le jardin du phare","dropped","singleton","A"
"la terrasse de l'oasis","dropped","singleton","A"
"la darse thalassa","dropped","singleton","A"
"el borsa","dropped","singleton","A"
"le jardin de l'olivier","dropped","singleton","A"
"la table de l'hôtel salambo","dropped","singleton","A"
"l'atelier de la medina","dropped","singleton","A"
"le cercle","dropped","singleton","A"
"le 44","dropped","singleton","A"
"le tounsi","dropped","singleton","A"
"dar el-annabi","dropped","singleton","A"
"le jardin d'azahar","dropped","singleton","A"
"al-zaytouna","dropped","singleton","A"
"l'ensoleillé","dropped","singleton","A"
"la scala","dropped","singleton","A"
"la table du port","dropped","singleton","A"
"sousse street food","dropped","singleton","A"
"boulangerie l'arabe","dropped","singleton","A"
"la maison de la tuna","dropped","singleton","A"
"le royal","dropped","singleton","A"
"le petit bistro","dropped","singleton","A"
"le marché de carthage","dropped","singleton","A"
"la table de l’horizon","dropped","singleton","A"
"dar attia","dropped","singleton","A"
"chez imed","dropped","singleton","A"
"la pagode","dropped","singleton","A"
"le temps des cerises","dropped","singleton","A"
"le ciel de carthage","dropped","singleton","A"
"brik manouba","dropped","singleton","A"
"makrouda","dropped","singleton","A"
"chez mon cousin","dropped","singleton","A"
"le panache","dropped","singleton","A"
"raw garden","dropped","singleton","A"
"dar houchen","dropped","singleton","A"
"bistrot de la minzah","dropped","singleton","A"
"chez mhamed","dropped","singleton","A"
"la cantine de la mer","dropped","singleton","A"
"le restaurant dar el jeld","dropped","singleton","A"
"la gondole","dropped","singleton","A"
"la méditerranée","dropped","singleton","A"
"le château d'eau","dropped","singleton","A"
"la place","dropped","singleton","A"
"le restaurant du ksar","dropped","singleton","A"
"le mokhtar","dropped","singleton","A"
"dar el jeld sousse","dropped","singleton","A"
"la table de l'atlas","dropped","singleton","A"
"dar essoukna","dropped","singleton","A"
"restaurant el bahri","dropped","singleton","A"
"dar yacout sousse","dropped","singleton","A"
"dar mardini","dropped","singleton","A"
"le bateau","dropped","singleton","A"
"la table de nabil","dropped","singleton","A"
"la maison de la sousse","dropped","singleton","A"
"la perle du port","dropped","singleton","A"
"le bled el dou","dropped","singleton","A"
"le 138","dropped","singleton","A"
"bistrot des sens","dropped","singleton","A"
"le palais des épices","dropped","singleton","A"
"el-mansour","dropped","singleton","A"
"restaurant el farouk","dropped","singleton","A"
"café maure","dropped","singleton","A"
"restaurant la gazelle","dropped","singleton","A"
"de la medina","dropped","singleton","A"
"le bistro","dropped","singleton","A"
"la table du pecheur","dropped","singleton","A"
"le restaurant hammamet","dropped","singleton","A"
"le restaurant de la ville","dropped","singleton","A"
"hammamet palace","dropped","singleton","A"
"la palmeraie","dropped","singleton","A"
"la marina","dropped","singleton","A"
"sahara","dropped","singleton","A"
"la maison d'assia","dropped","singleton","A"
"la perle du lac","dropped","singleton","A"
"chez mimoun","dropped","singleton","A"
"pâtisserie ben salah","dropped","singleton","A"
"le jardin de l’océan","dropped","singleton","A"
"le marché de hammamet","dropped","singleton","A"
"al mahdi palace","dropped","singleton","A"
"la coupole","dropped","singleton","A"
"dar attarine","dropped","singleton","A"
"le pré salé","dropped","singleton","A"
"le restaurant du parc","dropped","singleton","A"
"la mer de sable","dropped","singleton","A"
"aladin restaurant","dropped","singleton","A"
"le jardin des dattes","dropped","singleton","A"
"la mosquee","dropped","singleton","A"
"el kantaoui","dropped","singleton","A"
"el marsa","dropped","singleton","A"
"restaurant de la mer","dropped","singleton","A"
"le café des arts","dropped","singleton","A"
"dar el mestiri","dropped","singleton","A"
"le clos des figuiers","dropped","singleton","A"
"chez slim","dropped","singleton","A"
"café al massira","dropped","singleton","A"
"chez youssef","dropped","singleton","A"
"dar djerba","dropped","singleton","A"
"café de la marine","dropped","singleton","A"
"la terrasse de djerba","dropped","singleton","A"
"le clos des pins","dropped","singleton","A"
"souk el hadid","dropped","singleton","A"
"le comptoir du marché","dropped","singleton","A"
"dar el andalou","dropped","singleton","A"
"le tophane","dropped","singleton","A"
"la table de l'olivier","dropped","singleton","A"
"l'estelle","dropped","singleton","A"
"chez zouhair","dropped","singleton","A"
"dar dounia","dropped","singleton","A"
"la maison de l'orange","dropped","singleton","A"
"soummam","dropped","singleton","A"
"el arouss","dropped","singleton","A"
"le soleil de sousse","dropped","singleton","A"
"la table de la medina","dropped","singleton","A"
"le bistrot de l'antiquité","dropped","singleton","A"
"le mokkak","dropped","singleton","A"
"sidi sahbi","dropped","singleton","A"
"dar el fatah","dropped","singleton","A"
"le zaytouna","dropped","singleton","A"
"bistrot de la mer","merged","fuzzy >= 88 -> le bistrot de la mer","B"
"le cafe de france","merged","fuzzy >= 88 -> cafe de france","B"
"cafe de la medina","merged","fuzzy >= 88 -> le cafe de la medina","B"
"le cafe de la paix","merged","fuzzy >= 88 -> cafe de la paix","B"
"cafe de la plage","merged","fuzzy >= 88 -> le cafe de la plage","B"
"le cafe de paris","merged","fuzzy >= 88 -> cafe de paris","B"
"cafe des nattes","merged","fuzzy >= 88 -> le cafe des nattes","B"
"chez said","merged","fuzzy >= 88 -> chez sami","B"
"dar el jazira","merged","fuzzy >= 88 -> dar el jaziri","B"
"le dar el jeld","merged","fuzzy >= 88 -> dar el jeld","B"
"dar el-jeld","merged","fuzzy >= 88 -> dar el jeld","B"
"dar el-andalou","merged","fuzzy >= 88 -> dar el-andalous","B"
"le medina","merged","fuzzy >= 88 -> la medina","B"
"les jardins de carthage","merged","fuzzy >= 88 -> le jardin de carthage","B"
"le jardin des roses","merged","fuzzy >= 88 -> le jardin des sens","B"
"le resto","merged","fuzzy >= 88 -> le rest'o","B"
"le restaurant de la mer","merged","fuzzy >= 88 -> le restaurant de la medina","B"
"restaurant de la medina","merged","fuzzy >= 88 -> le restaurant de la medina","B"
"le restaurant de la place","merged","fuzzy >= 88 -> le restaurant de la plage","B"
